State,Starting Colonies,Maximum Colonies,Lost Colonies,Percent Loss,Added Colonies,Renovated Colonies,Percent Renovated,Year,loss_rate,quarter_label,Season,Region,year_extract_colony,Varroa Mites (Percent),Other pests and parasites (Percent),Diseases (percent),Pesticides (percent),Other (percent),Unknown (percent),year_extract_stressor
Alabama,7000.0,7000.0,1800.0,26.0,2800.0,250.0,4.0,2015-Q1,25.71428571428571,Q1,Winter,South,2015,10.0,5.4,,2.2,9.1,9.4,2015
Arizona,35000.0,35000.0,4600.0,13.0,3400.0,2100.0,6.0,2015-Q1,13.142857142857142,Q1,Winter,West,2015,26.9,20.5,0.1,,1.8,3.1,2015
Arkansas,13000.0,14000.0,1500.0,11.0,1200.0,90.0,1.0,2015-Q1,10.714285714285714,Q1,Winter,South,2015,17.6,11.4,1.5,3.4,1.0,1.0,2015
California,1440000.0,1690000.0,255000.0,15.0,250000.0,124000.0,7.0,2015-Q1,15.088757396449704,Q1,Winter,West,2015,24.7,7.2,3.0,7.5,6.5,2.8,2015
Colorado,3500.0,12500.0,1500.0,12.0,200.0,140.0,1.0,2015-Q1,12.0,Q1,Winter,West,2015,14.6,0.9,1.8,0.6,2.6,5.9,2015
Connecticut,3900.0,3900.0,870.0,22.0,290.0,0.0,0.0,2015-Q1,22.30769230769231,Q1,Winter,Northeast,2015,2.5,1.4,,,21.2,2.4,2015
Florida,305000.0,315000.0,42000.0,13.0,54000.0,25000.0,8.0,2015-Q1,13.333333333333334,Q1,Winter,South,2015,22.3,13.5,0.8,8.9,5.1,4.4,2015
Georgia,104000.0,105000.0,14500.0,14.0,47000.0,9500.0,9.0,2015-Q1,13.80952380952381,Q1,Winter,South,2015,6.2,4.9,3.3,2.6,4.8,10.5,2015
Hawaii,10500.0,10500.0,380.0,4.0,3400.0,760.0,7.0,2015-Q1,3.619047619047619,Q1,Winter,West,2015,38.8,37.7,1.6,,2.0,,2015
Idaho,81000.0,88000.0,3700.0,4.0,2600.0,8000.0,9.0,2015-Q1,4.204545454545454,Q1,Winter,West,2015,39.8,6.7,12.5,4.8,8.9,4.9,2015
Illinois,6000.0,10500.0,4200.0,40.0,2300.0,390.0,4.0,2015-Q1,40.0,Q1,Winter,Midwest,2015,12.3,6.9,0.7,0.4,12.6,11.6,2015
Indiana,9000.0,9500.0,2100.0,22.0,490.0,120.0,1.0,2015-Q1,22.105263157894736,Q1,Winter,Midwest,2015,20.7,0.3,0.2,0.3,22.3,11.7,2015
Iowa,12500.0,17500.0,3100.0,18.0,1700.0,270.0,2.0,2015-Q1,17.71428571428571,Q1,Winter,Midwest,2015,26.0,0.7,4.6,3.4,18.0,3.4,2015
